Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
LVmg9L-4ojo,Firewall Zero Hour - PS VR Gameplay | PS Underground,2018-10-17T20:15:01Z,321579,2371,254,9.33
_1MMam7zMbc,Susabi - Hoang [Tiêu Điểm Thức Thần][Âm Dương Sư],2018-05-11T13:16:53Z,111118,1329,25,53.16
HljJvwifETg,『マリオカート8 デラックス』 紹介映像,2018-03-09T01:51:52Z,1682576,3718,458,8.12
DpHDJRGuL7w,1-2-Switch Overview Trailer - Nintendo Switch,2018-02-20T18:50:38Z,1547611,10874,3378,3.22
wH1rzghneDM,Minecraft on Nintendo Switch – Play Together,2018-06-21T14:10:25Z,4376402,10096,365,27.66
EHg2FODS7ak,Mario Tennis Aces - Koopa Paratroopa - Nintendo Switch,2018-10-29T13:00:00Z,245120,3314,159,20.84
YNrIydZW25w,PUBG Daily Funny WTF Moments Highlights Ep 294,2018-06-09T16:00:02Z,161063,2468,94,26.26
cnyGFuUdFBc,Donkey Kong Country Tropical Freeze – Meet the Kongs: Diddy Kong – Nintendo Switch,2018-05-01T16:56:13Z,138302,2387,64,37.3
3h-jLVmkT-Q,Super Smash Bros. Ultimate - Arcadian Teen Tournament - Nintendo Switch,2018-08-01T17:00:01Z,1216969,16022,756,21.19
Jb4xSzTNd-I,MINECON Earth 2018 Livestream,2018-09-29T20:52:33Z,1144101,46125,1370,33.67
pbD4Hr-qux0,"[VCS Mic check - Cherry Esports] Zin còn trẻ, Zin muốn được thi đấu!",2018-08-08T13:46:51Z,204182,1675,43,38.95
XR3M2MckjKE,Mario Tennis Aces - Shy Guy - Nintendo Switch,2018-11-26T17:00:02Z,151748,1930,80,24.13
4PRS0UHXJt4,大乱闘スマッシュブラザーズ SPECIAL 実演プレイ映像,2018-11-03T23:05:19Z,963159,12038,243,49.54
jYXySXdC-KI,Mario + Rabbids Kingdom Battle Donkey Kong Adventure - Launch Trailer - Nintendo Switch,2018-06-27T16:00:08Z,125545,2730,88,31.02
5wKWxr_QAA4,【公式】ポケモン　モンコレストーリー　＃8　ゼラオラ VS レックウザ!! 勝つのはどっちだ、力比べ バトル！,2018-06-15T06:29:44Z,93720,,,
SndlWKdDzKA,【公式】ポケモン　モンコレストーリー　♯3　ピカチュウのクレーン大脱出,2018-03-30T04:00:05Z,798758,,,
jCaXSxYrrWM,Octopath Traveler - Character Trailer - Nintendo E3 2018,2018-06-12T16:31:51Z,1609868,9569,2034,4.7
dm71xF5sDpY,マリオテニス エース ヘイホー参戦!,2018-11-26T01:00:01Z,79594,695,16,43.44
aaYsR67hAoA,Our Nintendo Labo Creation - Nintendo Minute,2018-04-20T22:00:01Z,506448,4623,714,6.47
op5MUsslPnA,Super Mario Party 2 vs 2 Gameplay ft. Andre 'Black Nerd' & Katie Wilson - Nintendo Minute,2018-09-28T22:00:05Z,289576,4171,397,10.51
Y8zQxSWaotc,Captain Toad Treasure Tracker - Overview Trailer - Nintendo Switch,2018-07-13T16:00:06Z,4891456,18850,4577,4.12
_cn4gkBayv4,ニャニャニャ! ネコマリオタイム 第114回(「Nintendo Labo」ほか),2018-05-09T01:00:21Z,505817,1349,155,8.7
