Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
scVEgUdZFg0,Chris Makes Lobster Rolls From Scratch | From the Test Kitchen | Bon Appétit,2018-08-16T16:00:44Z,2585904,44310,1149,38.56
BB6ZCkvg39k,Carla Makes BA's Best Fettuccine Alfredo | From the Test Kitchen | Bon Appétit,2018-03-24T16:00:34Z,2521944,56720,1466,38.69
pbFHvwAjKyI,Brad Makes Pickled Fermented Eggs | It's Alive | Bon Appétit,2018-08-23T16:00:58Z,4242578,59037,953,61.95
AVFvrlkN3us,Joji and Rich Brian Make a Classic Japanese Street Food | Feast Mansion,2018-10-17T15:00:02Z,1437891,50585,764,66.21
DjLr06pne6Q,Jorja Smith Gets Ready for Bed | Beauty Secrets | Vogue,2018-06-12T13:48:29Z,2767204,102710,710,144.66
knxgR5esJu4,Vegetable Pancake (Yachaejeon: 야채전),2018-04-17T22:42:45Z,4810922,127162,2016,63.08
r21JqtL53DI,Eddie Huang Seeks Revenge Against Spicy Wings | Hot Ones,2018-09-06T15:00:07Z,2376740,41303,1126,36.68
nJV0mFIfE1w,Brad's Top 10 Fermentation Tips | It's Alive | Bon Appétit,2018-01-04T17:00:57Z,1283230,18208,209,87.12
QPvLA-egmWA,Brad Makes Giardiniera (Italian Pickle Relish) | It's Alive | Bon Appétit,2018-05-17T16:00:24Z,3879854,52253,756,69.12
9eEwbgRFxZk,Tinashe Teaches a Master Class in the Daytime Smoky Eye | Beauty Secrets | Vogue,2018-02-06T14:01:03Z,1049289,26485,492,53.83
DrzWGUGN6vY,Molly Makes Rigatoni with Vodka Sauce | From the Test Kitchen | Bon Appétit,2018-09-11T16:01:18Z,1802526,37908,782,48.48
ekaZTFFXNSs,E-40 Asks a Fan to Save Him While Eating Spicy Wings | Hot Ones,2018-11-08T16:00:05Z,2100702,33649,1322,25.45
youbwdV9D2A,Mal funcionamiento del hígado - Problemas  musculares que  provocan. Fisioterapia Logroño,2018-06-01T16:51:02Z,1421730,25720,677,37.99
M-wat3TSQqY,Molly Makes Egg-in-a-Hole Sandwich with Bacon and Cheddar | From the Test Kitchen | Bon Appétit,2018-05-09T16:04:02Z,1772056,37883,756,50.11
nVom-6VROxo,Soldering for the First Time | Ask This Old House,2018-05-18T20:00:02Z,225256,2939,146,20.13
cygQ1Wdh8g0,How To Make Sushi - California Roll | Cooking with Marshmello,2018-11-13T16:00:03Z,526728,23522,397,59.25
zXoi-uyDeX0,How to Create a Dutch Door | Ask This Old House,2018-01-29T00:00:03Z,643155,5914,194,30.48
jIkISNw6TNo,Molly Makes Hanger Steak with Charred Scallion Sauce | From the Test Kitchen | Bon Appétit,2018-06-28T20:00:59Z,1025209,18002,258,69.78
hE3C7UTpGvs,This Late-Night Burger Is L.A.'s Secret Handshake | The Burger Show,2018-07-10T15:00:04Z,1685189,23499,972,24.18
IvIEZXQruxg,Inside Liev Schreiber’s Renovated NYC Apartment | Open Door | Architectural Digest,2018-06-04T16:03:35Z,2908441,36200,582,62.2
FXKs4od2lrE,Victoria Beckham Explains 6 Looks From Spice Girls To Now | Life in Looks | Vogue,2018-11-16T15:03:43Z,1788016,26998,568,47.53
SMIT1QZjk_M,Brad Makes BA's Best Piña Coladas | From the Test Kitchen | Bon Appétit,2018-09-10T16:01:00Z,2459177,60326,519,116.24
uobffNK-3_E,Joji and Rich Brian Grill Exotic Meats for a House Party | Feast Mansion,2018-10-31T15:00:08Z,1738606,52429,788,66.53
JvH4PSn4wm0,Inside Mandy Moore's $2.6 Million Mid-century Pasadena Home | Open Door | Architectural Digest,2018-06-21T17:00:32Z,5629594,84617,1823,46.42
DJFeaRWJdy8,Sasha Banks Bosses Up While Eating Spicy Wings | Hot Ones,2018-01-25T16:00:03Z,4976227,92872,2327,39.91
1n7t2ElxiBI,Andy Makes Classic Ratatouille | From the Test Kitchen | Bon Appétit,2018-06-07T20:00:32Z,1000928,19423,548,35.44
Pa3ao2TVn1A,Andy Makes the Crispiest Saffron Rice Cake | From the Test Kitchen | Bon Appétit,2018-03-06T17:00:19Z,857407,19134,305,62.73
Zztw2nc_ERw,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",2018-05-08T20:54:05Z,722519,20374,216,94.32
WxlcMB6lvHE,Olivia Wilde's Simple & Natural Beauty Routine | Beauty Secrets | Vogue,2018-01-04T18:55:51Z,2784412,47709,763,62.53
sexYJ-J-AVo,Brad Forages for Porcini Mushrooms | It's Alive | Bon Appétit,2018-10-18T16:16:11Z,2936718,57963,629,92.15
3noLSXXni7M,Andy Makes Khoresh Gheymeh (Persian Stew) | From the Test Kitchen | Bon Appétit,2018-10-19T16:00:29Z,783245,17767,254,69.95
vgzcRdJHCck,Riverdale Star Lili Reinhart's Guide to Fresh-Faced Makeup | Beauty Secrets | Vogue,2018-06-20T13:01:44Z,7615716,320577,2370,135.26
sbpHsedLxkM,How to Make Your Own Concrete | Ask This Old House,2018-10-14T23:00:03Z,199716,2701,111,24.33
TMfVEkfXEV8,Jeff Goldblum Says He Likes to Be Called Daddy While Eating Spicy Wings | Hot Ones,2018-08-30T15:00:03Z,6424923,171654,6276,27.35
MfH0oirdHLs,Adam Carolla Rants Like a Pro While Eating Spicy Wings | Hot Ones,2018-10-25T15:00:03Z,1801111,29553,2145,13.78
OFwskHrtYQ4,Quantum Wavefunction | Quantum physics | Physics | Khan Academy,2018-06-25T17:36:29Z,192725,3784,60,63.07
bF39Xet-3Nk,Brad Makes Black Garlic | It's Alive | Bon Appétit,2018-11-01T16:00:33Z,4707397,81177,1526,53.2
piO-68zx2UQ,Molly Makes Fresh Herb Falafel | From the Test Kitchen | Bon Appétit,2018-05-22T16:04:59Z,1416399,32175,418,76.97
oidnwPIeqsI,Brad and Claire Make Sourdough Bread | It's Alive | Bon Appétit,2018-03-15T16:01:54Z,9296735,128448,2124,60.47
nCMGU846iTI,Brad Makes Chocolate: Part 2 | It's Alive | Bon Appétit,2018-02-15T17:00:46Z,2941420,56932,513,110.98
hM_BYbi3vPI,Molly Makes Pan-Roasted Brined Pork Chops | From the Test Kitchen | Bon Appétit,2018-03-20T16:00:25Z,1020778,15042,409,36.78
B1WMNP6NY6s,Chrissy Teigen Gets Drunk on Spicy Wings | Hot Ones,2018-10-04T15:00:01Z,5457193,97501,8091,12.05
BS1w-u8-C9Q,Andy Makes Grilled Salmon with Lemon Sauce | From the Test Kitchen | Bon Appétit,2018-09-05T16:01:44Z,795609,16624,301,55.23
fuOnYDEIjUA,Pastry Chef Attempts To Make Gourmet Twizzlers | Gourmet Makes | Bon Appétit,2018-09-18T16:00:33Z,7159384,124149,2581,48.1
A3IF6doyeF0,"Molly Makes Orecchiette with Buttermilk, Peas and Pistachios | From the Test Kitchen | Bon Appétit",2018-06-23T16:01:07Z,882886,18979,206,92.13
uyFOhoIWt78,Molly Makes Scallops with Corn and Chorizo | From the Test Kitchen | Bon Appétit,2018-09-17T16:01:08Z,1605863,28373,664,42.73
tBVlCSWH4Eo,Carla Makes BA's Best Shrimp Scampi | From the Test Kitchen | Bon Appétit,2018-04-24T16:00:54Z,1901802,31805,1150,27.66
HY8HQUlepE0,Molly Makes Arancini | From the Test Kitchen | Bon Appétit,2018-11-08T17:00:56Z,1772445,36373,800,45.47
mpnshdmtE2Y,Carla Makes BA Smashburgers | From the Test Kitchen | Bon Appétit,2018-06-12T16:03:58Z,3678555,54754,2871,19.07
